,0
111,"[13.61397076 13.25008488 13.13277531 13.30039692 13.40625    13.17411995
 14.8847084  14.81795883 15.00749779 14.82816982 15.11808395 15.3980341
 15.41671371 15.50488377]"
112,"[15.12381172 15.216465   15.03589153 15.11260414 14.75469589 14.97312737
 14.3840847  14.42194271 13.59952641 14.28171921 13.67399693 14.00077248
 14.0416193  13.87872887 13.42468071 13.27897739 12.57486629]"
113,"[12.22716999 12.40774345 12.92206478 13.03339767 12.95245075 13.12231445
 13.42667389 13.46702194 13.47349834 13.26278782]"
114,"[13.07200336 13.00575066 13.30089474 13.32405758 13.07225227 13.20351028
 13.18856621 13.25207806 13.51334858 13.61596394 13.61571503]"
115,"[13.61471939 13.42966175 12.96789265 13.0886898  13.24759483 13.43314934
 13.17162895 13.13825512 12.82791805 12.34173965]"
116,"[12.50064468 12.57038307 12.81969929 12.82991028 13.37910175 13.52879143
 13.66129398 13.92256546 14.736763   14.50587845 14.70762157]"
117,"[14.46328831 14.53726101 14.70712376 14.85482025 14.52455807 14.60301399
 14.91086006 14.94747257 14.76067257 14.41222858 14.56590271 14.88171959
 14.84784698 15.15145874 15.25133419 14.96764755 14.82144642 15.15195656
 15.26777267 15.35643959]"
118,"[15.2296648  14.96565533 14.81646442 14.46926594 14.44585323 14.19952679
 14.02243996 14.6498394  14.5188303  14.92879295 15.28695107 15.45108604
 15.58284187 15.53601742 15.52655315 15.3437376  15.62692642]"
119,"[15.57636642 15.58234406 15.39404869 15.43066216 15.59056282 15.4876976
 15.70040131 15.58707619 15.68371391 15.76939201 15.94647884 15.93278027
 16.00002861 16.08720016 16.57312965]"
120,"[16.64461136 16.41372681 16.18981743 15.50338936 15.52032566 15.59056282
 15.68221855 15.56640339 15.65581799 15.76366425 15.92954159 14.59504414
 14.58333778 14.46901703 14.18408489]"
121,"[14.14946365 14.44535542 14.38831902 14.44859314 14.46652603 14.57312584
 14.85257912 15.17038822 15.11260414 15.18931675 15.22941589]"
122,"[15.09118462 15.2478466  15.18707466 15.08246708 15.1063776  15.05955315
 15.29267883 15.14174461 15.09616566 15.19056225 15.17586708 15.40201855
 15.39853287 15.50189495]"
123,"[15.4732523  15.29890633 15.067523   15.11335087 15.12182045 14.95021343
 15.07225513 15.38682556 15.34224415 15.47026443 15.56764889 15.79031372
 15.77810955 15.93975353 16.09093666 16.00476074 16.17263031]"
124,"[16.11509705 16.33278084 16.14971733 15.97113609 16.11260605 16.00550652
 15.81945515 15.74896908 15.7121067  15.61297894]"
125,"[15.83962917 16.21447372 15.55669022 15.09517002 15.18234253 15.1295414
 14.92655182 14.84585381 14.88420963 14.97561836]"
126,"[15.18607903 15.3292923  15.31708813 15.0647831  15.0543232  15.12480927
 15.21845722 14.86851883 15.13203144 15.26254177 15.17188168 15.28421116
 15.07424831 15.04361343 15.22069931 15.66453457 15.51808357]"
127,"[14.95394897 15.29541874 14.96391201 15.17960262 15.03514481 14.73302746
 14.80301476 14.65083504 14.46727276 14.22119522 14.41073513 14.20699883
 14.46004963 14.40176868 14.45706081 14.15942669 14.07474422]"
128,"[13.97486877 13.92405891 14.06004906 14.21795845 14.48396111 14.38383579
 14.07748413 14.23364925 13.96515465 14.06428432 14.17935181 14.05506802
 14.44759655 14.45755959 14.640872  ]"
129,"[14.84236717 14.59479523 14.59554195 14.48819542 14.22642612 14.20874214
 14.35917759 14.31932831 14.36440945 14.46478176 14.77113438 15.21347618
 15.33028793 15.13253021 15.14299011 15.27673912 15.81472301 15.74847126]"
130,"[15.7651577  15.75793457 15.6600523  15.97337818 16.01048851 15.95370197
 15.9957943  15.99878311 15.99006462 16.43863487 16.65407562 16.62618065
 16.75893211 16.86528587]"
131,"[16.82543373 16.67524719 16.86628151 16.85681725 16.90239525 16.66802406
 16.86802483 17.13602066 16.97836113 17.06329346 16.96242142 16.95445061
 17.41970634 17.58782768]"
132,"[17.45382881 17.24012947 17.20750237 17.58508682 17.67574692 17.68321991
 17.88994408 18.11958313 18.13502502 18.28122711 18.66454124 18.65906143
 18.76615906 18.84187508 18.79206276 18.97338295]"
133,"[18.8540802  18.99131584 19.12954712 19.11958504 18.87525177 18.53278542
 18.54449081 18.71684456 18.54922295 18.45532417 18.54797745]"
134,"[18.81671906 17.31011772 16.98110008 16.90339279 16.9452343  16.86927032
 16.88072777 16.81572151 16.94399071 17.12555885 17.13377762 17.01024055
 16.97935677 16.61572075 16.24635506 16.51385117 16.58533478 16.41472435
 16.25283051 16.12107468 16.1190815 ]"
135,"[16.64286804 16.68670464 16.5845871  16.63689041 16.46702766 16.70513535
 17.02792549 17.23265839 17.39405251 17.31634331]"
136,"[17.21123886 17.13128853 17.21372986 17.04137421 17.07151222 17.35694122
 17.37387848 17.50189972 17.4834671  17.95221138]"
137,"[17.95943451 17.93552208 17.9915638  17.82394028 17.67126465 17.65557289
 17.59131241 17.43490028 17.61846161 18.0137291  18.0241909  18.38035583
 18.30015755 18.2640419  18.38409233 18.46777725]"
138,"[18.43066788 18.0137291  18.05557251 17.81298256 17.7165947  17.5469799
 17.50613213 18.46827507 18.78483963 18.77139091 18.69816589 18.77163887
 18.77537537 18.82170105 19.31759262]"
139,"[18.9046402  19.07201385 19.18235016 19.27649689 19.56093025 19.48745537
 19.44461632 19.49841499 19.62195206 19.74822807 20.09592628]"
140,"[19.73751831 19.81398201 19.91809273 19.69542694 19.67948532 19.91983604
 19.9552021  20.07948685 20.4608078  20.88671112]"
141,"[20.70688629 20.73727226 20.71037292 20.79256439 20.61298752 20.55570221
 20.46180344 20.28148079 20.11933708 20.20725822 20.29169273 20.20576477
 20.1821022  20.16541481 20.23465538 19.99156761 19.78060722]"
142,"[19.95495415 20.25009727 20.07973671 19.80252457 19.50314713 19.29891205
 19.36865234 19.68073273 19.68596268 19.67749405 19.47525215 19.76018333
 19.49094391 19.07624817]"
143,"[19.92207718 19.92805481 20.12207794 20.26030922 20.15196419 19.96068192
 20.40003586 20.5372715  20.43415833 20.66280174 21.06404686 21.45831871
 21.35072136 21.75919151 21.7056427  21.92357445 21.85632706 22.0946846 ]"
144,"[22.8117466  22.51236725 22.6446228  22.62843323 22.58957863 22.15246773
 21.98733521 21.75147057 21.94947815 21.626688   21.68770981 21.69916534
 21.60975075 21.39729881 21.41224289]"
145,"[21.53528023 21.91112137 22.17239189 21.91311455 21.71809578 21.8431263
 21.79430962 22.07351303 22.43142128 22.43291664]"
