run_idx,synthetic_pct,mae,dataset,k,variant,source_file
22,80,0.0392525754868984,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,80,0.0345574617385864,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,80,0.1984707117080688,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,80,0.0651659443974495,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,80,0.0719090402126312,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,80,0.0521569438278675,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
28,80,0.0414867028594017,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,80,0.2813571989536285,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,90,0.0464323125779628,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,90,0.0839418470859527,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
2,90,0.1627382934093475,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,90,0.0678385645151138,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,90,0.0634452700614929,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,90,0.0882480889558792,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,90,0.0594979263842105,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,90,0.2608641982078552,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,90,0.0709205493330955,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,90,0.2571081221103668,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,90,0.1926420778036117,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,90,0.2028607130050659,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,90,0.0551912039518356,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,90,0.0473767556250095,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,90,0.2212034612894058,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,90,0.1098949089646339,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,90,0.0835905447602272,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,90,0.0872550085186958,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
